"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","beta1"
"X15",0.00343093236652928,0.602502811278365,0.563703822943402,12,-0.00559814867025869,0.0124600134033173,7
"X16",0.00114422731679291,0.318670385960875,0.756485445816466,15.5,-0.00361408194661255,0.00590253658019838,7
"X17",0.00266480410465748,0.491175636272878,0.638868918288752,13.7,-0.00520512550834334,0.0105347337176583,7
"X18",0.00124288906204346,0.286510118621064,0.782954220462761,16,-0.00337206823296959,0.00585784635705651,7
"X19",0.00109495801112773,0.316545330062417,0.755778010869943,14.9,-0.00395432238718522,0.00614423840944069,7
"X2",2.09814440542231,11.2525494203242,1.05139956788568e-25,8,1.73164853584478,2.46464027499984,7
"X20",0.00257197382842194,0.482422330987169,0.646027800237079,13.5,-0.004616245892245,0.00976019354908887,7
"X3",3.80475811299471,12.8626229396887,6.45600337657598e-30,6.2,3.22374078454436,4.38577544144506,7
"X4",3.92527826172135,13.0504952228569,1.04398450069951e-34,5.7,3.33522711658357,4.51532940685912,7
"X5",3.95839885464179,12.9829658315824,2.87945278083215e-36,6.1,3.36065660539624,4.55614110388733,7
"X6",8.55248256306248,14.1960948925798,1.0373388055163e-37,4,7.36862265171397,9.73634247441098,7
"X7",15.4333622973756,15.056319494816,1.21895937085168e-47,3,13.4235443864914,17.4431802082598,7
"X8",24.2844749657196,15.2963090710133,4.62498394528747e-44,2,21.1667763113412,27.402173620098,7
"X9",0.00138340718568049,0.361910962106763,0.723254855673797,15,-0.00423610200451406,0.00700291637587503,7
"X1",63.1084116442488,15.5085724958021,6.04586007683185e-46,1,55.0779092747678,71.1389140137298,8
"X10",0.00112461540157386,0.266233513866784,0.799470240777783,15.6,-0.00295511401480013,0.00520434481794785,8
"X11",0.00175606454864602,0.340764857476238,0.748109108582111,15.5,-0.00351613609827662,0.00702826519556866,8
"X12",0.00167067790888118,0.320208359191083,0.772072528265776,16,-0.00297955789671654,0.0063209137144789,8
"X13",0.00349010004202718,0.587601952603469,0.582757605098424,12.8,-0.00498773785365564,0.01196793793771,8
"X14",0.00314139386418296,0.522989802093564,0.620314648017398,13.5,-0.005239614813108,0.0115224025414739,8
"X15",0.00343093236652925,0.602502811278367,0.563703822943399,12,-0.0055981486702587,0.0124600134033172,8
"X16",0.00114422731679288,0.318670385960882,0.75648544581646,15.5,-0.00361408194661255,0.00590253658019831,8
"X17",0.00266480410465741,0.491175636272923,0.638868918288714,13.7,-0.00520512550834342,0.0105347337176582,8
"X18",0.00124288906204341,0.286510118620291,0.782954220463378,16,-0.00337206823296961,0.00585784635705642,8
"X19",0.00109495801112761,0.316545330062391,0.755778010869961,14.9,-0.00395432238718536,0.00614423840944058,8
"X2",2.09814440542231,11.2525494203242,1.05139956788564e-25,8,1.73164853584478,2.46464027499984,8
"X20",0.00257197382842196,0.482422330987506,0.646027800236808,13.5,-0.00461624589224498,0.0097601935490889,8
"X3",3.80475811299471,12.8626229396887,6.45600337657611e-30,6.2,3.22374078454436,4.38577544144506,8
"X4",3.92527826172135,13.0504952228569,1.04398450069956e-34,5.7,3.33522711658357,4.51532940685912,8
"X5",3.95839885464179,12.9829658315824,2.87945278083224e-36,6.1,3.36065660539624,4.55614110388733,8
"X6",8.55248256306248,14.1960948925798,1.03733880551625e-37,4,7.36862265171397,9.73634247441098,8
"X7",15.4333622973756,15.056319494816,1.21895937085172e-47,3,13.4235443864914,17.4431802082598,8
"X8",24.2844749657196,15.2963090710133,4.62498394528747e-44,2,21.1667763113412,27.402173620098,8
"X9",0.00138340718568047,0.361910962109383,0.723254855671708,15,-0.00423610200451408,0.00700291637587503,8
"X1",79.8423788017961,15.5539702635487,3.46712581759384e-46,1,69.7123098574832,89.9724477461089,9
"X10",0.00112461540157393,0.266233513867475,0.799470240777232,15.6,-0.00295511401480005,0.0052043448179479,9
"X11",0.00175606454864614,0.340764857475468,0.748109108582728,15.5,-0.00351613609827653,0.00702826519556881,9
"X12",0.00167067790888121,0.320208359190439,0.772072528266291,16,-0.00297955789671643,0.00632091371447886,9
"X13",0.00349010004202722,0.587601952603465,0.582757605098428,12.8,-0.00498773785365565,0.0119679379377101,9
"X14",0.00314139386418317,0.522989802093673,0.620314648017315,13.5,-0.00523961481310777,0.0115224025414741,9
"X15",0.00343093236652926,0.602502811278371,0.563703822943396,12,-0.00559814867025869,0.0124600134033172,9
"X16",0.00114422731679293,0.318670385960946,0.756485445816409,15.5,-0.00361408194661252,0.00590253658019839,9
"X17",0.00266480410465763,0.491175636273138,0.638868918288547,13.7,-0.00520512550834316,0.0105347337176584,9
"X18",0.00124288906204352,0.286510118621632,0.782954220462309,16,-0.0033720682329695,0.00585784635705654,9
"X19",0.00109495801112776,0.316545330062418,0.755778010869943,14.9,-0.00395432238718519,0.0061442384094407,9
"X2",2.09814440542231,11.2525494203242,1.0513995678857e-25,8,1.73164853584478,2.46464027499984,9
"X20",0.00257197382842206,0.482422330987221,0.646027800237041,13.5,-0.00461624589224491,0.00976019354908903,9
"X3",3.80475811299471,12.8626229396887,6.45600337657624e-30,6.2,3.22374078454436,4.38577544144506,9
"X4",3.92527826172135,13.0504952228569,1.04398450069947e-34,5.7,3.33522711658357,4.51532940685912,9
"X5",3.95839885464179,12.9829658315824,2.87945278083206e-36,6.1,3.36065660539624,4.55614110388733,9
"X6",8.55248256306248,14.1960948925798,1.03733880551625e-37,4,7.36862265171397,9.73634247441098,9
"X7",15.4333622973756,15.056319494816,1.21895937085173e-47,3,13.4235443864914,17.4431802082598,9
"X8",24.2844749657196,15.2963090710133,4.62498394528747e-44,2,21.1667763113412,27.402173620098,9
"X9",0.00138340718568041,0.361910962107568,0.723254855673153,15,-0.00423610200451415,0.00700291637587497,9
